"""","総農家数(戸)","自給的農家(戸)","販売農家(戸)","販売農家_0～  0.5ha(戸)","販売農家_0.5～1.0ha(戸)","販売農家_1.0～1.5ha(戸)","販売農家_1.5～2.0ha(戸)","販売農家_2.0～3.0ha(戸)","販売農家_3.0～5.0ha(戸)","販売農家_5.0ha以上(戸)"
"平成 7年(1995年)","42990.0","11264.0","31726.0","9721.0","12273.0","5042.0","2473.0","1783.0","398.0","36.0"
"平成12年(2000年)","39863.0","11182.0","28681.0","8323.0","10924.0","4530.0","2425.0","1932.0","502.0","45.0"
"平成17年(2005年)","36531.0","10937.0","25594.0","7081.0","9509.0","4095.0","2285.0","2008.0","568.0","48.0"
"平成22年(2010年)","33799.0","10592.0","23207.0","5834.0","8645.0","3857.0","2133.0","2024.0","655.0","59.0"
"","","","","","","","","","",""
" 和歌山市","4093.0","1593.0","2500.0","724.0","1247.0","362.0","94.0","52.0","18.0","3.0"
" 海 南 市","1997.0","559.0","1438.0","314.0","463.0","232.0","187.0","196.0","45.0","1.0"
" 橋 本 市","2128.0","941.0","1187.0","455.0","501.0","129.0","55.0","29.0","17.0","1.0"
" 有 田 市","1161.0","216.0","945.0","193.0","307.0","168.0","147.0","110.0","19.0","1.0"
" 御 坊 市","902.0","249.0","653.0","159.0","293.0","124.0","45.0","25.0","6.0","1.0"
" 田 辺 市","3369.0","1002.0","2367.0","498.0","721.0","410.0","284.0","330.0","118.0","6.0"
" 新 宮 市","260.0","144.0","116.0","50.0","45.0","14.0","2.0","4.0","1.0","0.0"
" 紀の川市","4527.0","1226.0","3301.0","777.0","1333.0","627.0","251.0","222.0","80.0","11.0"
" 岩 出 市","912.0","341.0","571.0","199.0","280.0","65.0","18.0","9.0","0.0","0.0"
"","","","","","","","","","",""
" 紀美野町","895.0","389.0","506.0","157.0","222.0","61.0","24.0","29.0","13.0","0.0"
"","","","","","","","","","",""
" かつらぎ町","1507.0","335.0","1172.0","258.0","399.0","227.0","136.0","121.0","28.0","3.0"
" 九度山町","398.0","105.0","293.0","75.0","92.0","60.0","29.0","32.0","5.0","0.0"
" 高 野 町","156.0","108.0","48.0","22.0","23.0","3.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","",""
" 湯 浅 町","443.0","69.0","374.0","43.0","81.0","57.0","64.0","97.0","32.0","0.0"
" 広 川 町","560.0","146.0","414.0","65.0","108.0","92.0","50.0","65.0","26.0","8.0"
" 有田川町","2924.0","736.0","2188.0","508.0","748.0","394.0","272.0","214.0","50.0","2.0"
"","","","","","","","","","",""
" 美 浜 町","179.0","62.0","117.0","19.0","50.0","21.0","10.0","12.0","4.0","1.0"
" 日 高 町","617.0","174.0","443.0","112.0","206.0","91.0","22.0","10.0","1.0","1.0"
" 由 良 町","363.0","140.0","223.0","53.0","83.0","33.0","25.0","25.0","4.0","0.0"
" 印 南 町","964.0","177.0","787.0","195.0","336.0","173.0","54.0","28.0","1.0","0.0"
" みなべ町","1522.0","105.0","1417.0","155.0","306.0","254.0","240.0","316.0","134.0","12.0"
" 日高川町","1193.0","383.0","810.0","247.0","307.0","131.0","63.0","45.0","15.0","2.0"
"","","","","","","","","","",""
" 白 浜 町","763.0","334.0","429.0","165.0","165.0","44.0","27.0","15.0","10.0","3.0"
" 上富田町","619.0","255.0","364.0","114.0","126.0","45.0","24.0","27.0","26.0","2.0"
" すさみ町","274.0","134.0","140.0","73.0","47.0","8.0","3.0","7.0","2.0","0.0"
"","","","","","","","","","",""
" 那智勝浦町","434.0","251.0","183.0","81.0","82.0","16.0","4.0","0.0","0.0","0.0"
" 太 地 町","16.0","11.0","5.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0"
" 古座川町","251.0","139.0","112.0","68.0","36.0","5.0","1.0","1.0","0.0","1.0"
" 北 山 村","20.0","17.0","3.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0"
" 串 本 町","352.0","251.0","101.0","50.0","35.0","11.0","2.0","3.0","0.0","0.0"
